Source:,C:/Users/Drew/Desktop/Projects/Power Monitor/Schematic/Power Monitor.sch,,,,,
Date:,6/27/2015 16:34,,,,,
Tool:,"Eeschema (2015-06-24 BZR 5814, Git a8bffb8)-product",,,,,
Generator:,C:\KiCad\bin\scripting\plugins\bom-in-python\bom_csv_grouped_by_value.py,,,,,
Component Count:,34,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,10uF,device:CP1,,
,,C2,150uF,device:CP1,,
,,C3,10uF,device:CP1,,
,,C4,10uF,device:CP1,,
,,C5,0.1uF,device:CP1,,
,,C6,10uF,device:CP1,,
,,D1,Bridge,custom:Bridge,,
,,DISP1,LCD16X2,display:LCD16X2,WC1602A,
,,J1,"BARREL_JACK 2.1mm ID,5.5mm OD",conn:BARREL_JACK,,
,,J2,Stereo_Jack_3.5mm,custom:Stereo_Jack_3.5mm,,
,,J3,Stereo_Jack_3.5mm,custom:Stereo_Jack_3.5mm,,
,,J4,Stereo_Jack_3.5mm,custom:Stereo_Jack_3.5mm,,
,,J5,PIC ICSP,conn:CONN_01X05,,
,,J6,LCD,conn:CONN_01X16,,
,,J7,nRF24L01+,conn:CONN_02X04,,
,,R1,23.2R,device:R,,
,,R10,1.75k,device:R,,
,,R11,1.75k,device:R,,
,,R12,2.32k,device:R,,
,,R13,7.5k,device:R,,
,,R2,23.2R,device:R,,
,,R3,23.2R,device:R,,
,,R4,7.5k,device:R,,
,,R5,1.75k,device:R,,
,,R6,1.75k,device:R,,
,,R7,1.75k,device:R,,
,,R8,1.75k,device:R,,
,,R9,1.75k,device:R,,
,,RF1,nRF24L01+,custom:nRF24L01+,,
,,RV1,POT 10k,device:POT,,
,,SW1,LCD Backlight,device:SPST,,
,,U1,MCP1702-5002E/TO,custom:MCP1700,,
,,U2,MCP1700-3302E/TO,custom:MCP1700,,
,,U3,PIC18F26J13,custom:PIC18F2XJ13,,
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,4,"C1, C3, C4, C6",10uF,device:CP1,,
2,1,C2,150uF,device:CP1,,
3,1,C5,0.1uF,device:CP1,,
4,1,D1,Bridge,custom:Bridge,,
5,1,DISP1,LCD16X2,display:LCD16X2,WC1602A,
6,1,J1,"BARREL_JACK 2.1mm ID,5.5mm OD",conn:BARREL_JACK,,
7,3,"J2, J3, J4",Stereo_Jack_3.5mm,custom:Stereo_Jack_3.5mm,,
8,1,J5,PIC ICSP,conn:CONN_01X05,,
9,1,J6,LCD,conn:CONN_01X16,,
10,1,J7,nRF24L01+,conn:CONN_02X04,,
11,3,"R1, R2, R3",23.2R,device:R,,
12,7,"R10, R11, R5, R6, R7, R8, R9",1.75k,device:R,,
13,1,R12,2.32k,device:R,,
14,2,"R13, R4",7.5k,device:R,,
15,1,RF1,nRF24L01+,custom:nRF24L01+,,
16,1,RV1,POT 10k,device:POT,,
17,1,SW1,LCD Backlight,device:SPST,,
18,1,U1,MCP1702-5002E/TO,custom:MCP1700,,
19,1,U2,MCP1700-3302E/TO,custom:MCP1700,,
20,1,U3,PIC18F26J13,custom:PIC18F2XJ13,,
